Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Zack Greinke","HOU",18.2,73,2.4107,12,2,1,5,5,0,5,0,0,24,0.1765,0.2329,0.2353,0.21203233934428595,1943
2020,"Ivan Nova","DET",5,25,5.4,7,1,0,3,3,0,2,0,0,0,0.3043,0.36,0.3478,0.31745142936706544,1994
2020,"Adam Wainwright","STL",18.2,76,3.8571,18,2,0,9,8,4,3,0,0,11,0.25,0.2763,0.4444,0.3033674249523564,2233
2020,"Lance Lynn","TEX",25,94,2.16,13,3,0,6,6,3,8,0,0,34,0.1529,0.2234,0.2941,0.22774981818300613,2520
2020,"Rick Porcello","NYM",9,42,8,12,2,0,8,8,0,3,0,0,8,0.3077,0.3571,0.359,0.3191861907641093,2717
2020,"Max Scherzer","WSN",10.2,56,6.75,18,4,0,8,8,2,6,0,0,11,0.3673,0.4286,0.5714,0.4230111709662846,3137
2020,"Anibal Sanchez","WSN",11.1,49,3.1765,13,2,1,4,4,2,3,1,0,13,0.2826,0.3265,0.5,0.3424090122183164,3284
2020,"Liam Hendriks","OAK",5.1,21,1.6875,5,1,0,1,1,1,1,0,0,10,0.25,0.2857,0.45,0.3122563135056269,3548
2020,"Jake Arrieta","PHI",7.2,34,8.2174,10,1,0,7,7,1,1,0,1,6,0.3125,0.3529,0.4375,0.3442041716154884,4153
2020,"Rafael Dolis","TOR",5.2,21,1.5882,1,0,0,2,1,0,4,0,0,7,0.0667,0.2632,0.0667,0.1939566449115151,4185
2020,"Tyler Chatwood","CHC",9,33,0,4,2,0,0,0,0,3,0,0,14,0.1333,0.2121,0.2,0.1921476342461326,4338
2020,"Charlie Morton","TBR",7,31,9,7,1,0,7,7,2,2,0,1,8,0.2593,0.3226,0.5185,0.34974029179542293,4676
2020,"Nate Jones","CIN",5.1,20,0,2,0,0,0,0,0,2,0,2,8,0.125,0.3,0.125,0.23135996460914612,4696
2020,"Michael Pineda","MIN",8.1,37,3.24,10,3,0,3,3,0,3,0,0,12,0.2941,0.3514,0.3824,0.3241354130409859,5372
2020,"Jesse Chavez","TEX",5.2,19,3.1765,3,1,0,2,2,0,1,0,0,3,0.2,0.2105,0.2667,0.19491038196965269,5448
2020,"Tyler Clippard","MIN",5,21,0,6,0,0,1,0,0,1,0,0,4,0.3,0.3333,0.3,0.28567740463075186,5640
2020,"Junior Guerra","ARI",5,23,3.6,5,1,0,2,2,1,3,0,0,6,0.25,0.3478,0.45,0.34601788935454,5702
2020,"Trevor Cahill","SFG",6,22,1.5,1,0,0,1,1,0,3,0,0,6,0.0526,0.1818,0.0526,0.1356664462523027,6249
2020,"Trevor May","MIN",5,19,5.4,4,0,0,3,3,2,1,0,0,8,0.2353,0.2632,0.5882,0.3372992151661923,6398
2020,"Alex Cobb","BAL",9.1,42,3.8572,9,3,0,4,4,1,4,0,0,6,0.2368,0.3095,0.3947,0.30710129794620333,6562
2020,"Carlos Carrasco","CLE",14,65,2.5714,15,3,0,4,4,2,9,0,0,19,0.2727,0.375,0.4364,0.35605290718376637,6632
2020,"Alex Colome","CHW",5.1,19,0,0,0,0,0,0,0,2,0,1,7,0,0.1667,0,0.1183886428674062,6661
2020,"Julio Teheran","LAA",8.1,36,8.64,11,1,0,8,8,5,3,0,0,4,0.3333,0.3889,0.8182,0.48912543720669216,6797
2020,"Johnny Cueto","SFG",11.1,53,7.1471,13,4,1,9,9,2,7,0,0,17,0.2889,0.3774,0.5556,0.38952942164439075,6893
2020,"Chase Anderson","TOR",7.2,41,10.5652,14,3,0,10,9,3,3,0,1,9,0.3784,0.439,0.7027,0.476073071724031,6895
2020,"Ryan Pressly","HOU",5.2,21,0,3,0,0,1,0,0,2,1,0,8,0.1579,0.2381,0.1579,0.1674934983253479,7005
2020,"Daniel Bard","COL",5.1,24,3.375,8,1,0,2,2,1,0,0,1,7,0.3478,0.375,0.5217,0.38484126577774685,7115
2020,"Greg Holland","KCR",7.1,25,2.4546,3,0,0,2,2,0,2,0,0,6,0.1304,0.2,0.1304,0.16201537609100342,7196
2020,"J.A. Happ","NYY",6.1,22,2.8421,4,0,0,2,2,1,2,0,0,4,0.2,0.2727,0.35,0.273697782646526,7410
2020,"Jordan Lyles","TEX",10,53,9,15,3,0,11,10,2,6,0,0,9,0.3191,0.3962,0.5106,0.3902989198576729,7593
2020,"Tommy Milone","2 Tms",5,22,5.4,7,0,1,4,3,2,0,0,0,5,0.3333,0.3333,0.7143,0.4299541938872564,7608
2020,"Mike Fiers","OAK",11,46,4.0909,8,2,0,5,5,1,4,0,1,7,0.1951,0.2826,0.3171,0.269384248101193,7754
2020,"Josh Lindblom","MIL",9.1,44,8.6786,12,1,1,9,9,4,3,0,1,11,0.3,0.3636,0.675,0.42739237574013794,7882
2020,"Brett Anderson","MIL",5,22,0,5,1,0,0,0,0,1,0,1,3,0.25,0.3182,0.3,0.2817954989996823,8223
2020,"Tanner Roark","TOR",7.1,29,3.6818,3,0,0,3,3,1,6,0,0,8,0.1304,0.3103,0.2609,0.2738031190017174,8753
2020,"Nathan Eovaldi","BOS",6.1,20,1.4211,2,1,0,1,1,1,0,0,0,8,0.1,0.1,0.3,0.1603756308555603,9132
2020,"Patrick Corbin","WSN",6.2,27,2.7,6,0,1,2,2,1,1,0,0,10,0.2308,0.2593,0.4231,0.2873550256093343,9323
2020,"Josh Tomlin","ATL",7,31,5.1429,9,1,0,4,4,1,1,1,0,6,0.3,0.3226,0.4333,0.31297807296117147,9388
2020,"Dallas Keuchel","CHW",6.1,24,4.2632,3,0,0,3,3,0,2,0,0,4,0.1364,0.2083,0.1364,0.16876601676146188,9434
2020,"Jeremy Jeffress","CHC",7.2,29,2.3478,4,0,0,2,2,1,3,0,1,4,0.16,0.2759,0.28,0.2569597363471985,9490
2020,"Garrett Richards","SDP",8,38,10.125,8,2,0,9,9,3,6,0,0,7,0.2581,0.3684,0.6129,0.40101142619785507,9784
2020,"Sergio Romo","MIN",5,18,0,3,0,0,0,0,0,0,0,0,4,0.1667,0.1667,0.1667,0.14718641837437949,9817
2020,"Mike Minor","2 Tms",8,35,2.25,8,1,0,2,2,0,2,0,0,6,0.2424,0.2857,0.2727,0.2519829784120832,10021
2020,"Kyle Gibson","TEX",12.2,60,7.1052,16,2,1,11,10,4,7,0,2,8,0.3137,0.4167,0.6275,0.4370531717936198,10123
2020,"Ryan Weber","BOS",13.1,53,4.725,14,3,0,7,7,4,4,0,1,6,0.2979,0.3654,0.617,0.4097568977337617,10160
2020,"Zack Wheeler","PHI",15.2,60,2.2979,14,4,0,4,4,0,2,1,1,11,0.25,0.2881,0.3214,0.2622043007406695,10310
2020,"Asher Wojciechowski","BAL",11.1,48,6.353,14,2,0,9,8,3,2,0,0,11,0.3111,0.3333,0.5556,0.36948098987340927,10836
2020,"Adam Kolarek","LAD",6,20,0,1,0,0,0,0,0,0,0,0,5,0.05,0.05,0.05,0.04415592551231384,10843
2020,"Chasen Shreve","NYM",5,15,1.8,1,0,0,1,1,1,2,0,0,4,0.0769,0.2,0.3077,0.22479971249898276,10855
2020,"Josh A. Smith","MIA",6,32,3,8,2,0,2,2,0,7,2,0,5,0.3333,0.4688,0.4167,0.3758124947547913,10946
2020,"Jacob deGrom","NYM",16.1,69,2.2041,11,5,0,5,4,1,8,0,0,20,0.1803,0.2754,0.3115,0.2633826646251955,10954
2020,"Merrill Kelly","ARI",5.2,23,3.1765,5,0,0,2,2,1,1,0,0,1,0.2273,0.2609,0.3636,0.26973718663920526,11156
