Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Todd Frazier","2 Tms",13,33,31,10,4,4,0,2,6,4,2,0,8,0,0,0,0,0,1,0.32258065,785
2020,"Albert Pujols","LAA",19,42,41,9,4,3,0,2,6,6,1,0,8,0,0,0,1,0,0,0.2195122,1177
2020,"Wilson Ramos","NYM",10,22,18,3,2,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0.16666667,1433
2020,"David Peralta","ARI",11,23,23,6,6,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0.26086957,2136
2020,"Edwin Encarnacion","CHW",11,20,15,2,0,1,0,1,1,1,4,0,5,1,0,0,0,0,0,0.13333333,2151
2020,"Carlos Santana","CLE",15,28,25,7,3,2,0,2,3,7,3,0,4,0,0,0,0,0,0,0.28,2396
2020,"Nelson Cruz","MIN",12,24,20,9,7,0,0,2,3,3,4,2,1,0,0,0,2,0,0,0.45,2434
2020,"Robinson Cano","NYM",11,20,19,3,1,1,0,1,1,2,0,0,3,1,0,0,0,0,0,0.15789474,3269
2020,"Ryan Braun","MIL",12,22,21,3,2,0,0,1,1,3,0,0,4,0,0,0,0,0,0,0.14285714,3410
2020,"Anthony Rizzo","CHC",19,31,26,3,3,0,0,0,1,0,5,0,5,0,0,0,1,1,0,0.11538462,3473
2020,"Josh Reddick","HOU",20,38,34,12,7,4,0,1,4,10,4,0,4,0,0,0,0,1,0,0.35294118,3892
2020,"Michael Brantley","HOU",11,21,19,5,2,2,0,1,4,4,2,0,4,0,0,0,1,0,0,0.26315789,4106
2020,"Joey Votto","CIN",19,26,21,7,5,0,0,2,5,2,5,0,5,0,0,0,1,0,0,0.33333333,4314
2020,"Mike Moustakas","CIN",15,25,22,6,4,1,0,1,2,7,3,0,6,0,0,0,1,1,0,0.27272727,4892
2020,"Justin Upton","LAA",17,41,37,9,5,2,0,2,6,6,4,0,10,0,0,0,1,0,1,0.24324324,5222
2020,"Brandon Crawford","SFG",10,20,15,6,5,1,0,0,3,0,4,0,4,1,0,0,0,0,0,0.4,5343
2020,"Freddie Freeman","ATL",12,21,19,0,0,0,0,0,1,1,2,0,6,0,0,0,3,0,0,0,5361
2020,"Jose Altuve","HOU",15,34,29,4,4,0,0,0,5,2,5,0,10,0,0,0,1,0,2,0.13793103,5417
2020,"Marwin Gonzalez","MIN",13,26,22,3,3,0,0,0,2,1,3,0,4,0,1,0,0,0,0,0.13636364,5497
2020,"Matt Kemp","COL",17,32,29,8,6,1,0,1,7,5,3,1,7,0,0,0,0,0,0,0.27586207,5631
2020,"Avisail Garcia","MIL",15,28,24,8,5,3,0,0,2,3,3,1,7,1,0,0,0,1,1,0.33333333,5760
2020,"Wilmer Flores","SFG",16,33,29,10,3,3,0,4,8,12,3,1,3,0,1,0,0,0,0,0.34482759,5827
2020,"Jean Segura","PHI",17,36,30,6,3,0,0,3,5,4,6,1,9,0,0,0,0,1,1,0.2,5933
2020,"Didi Gregorius","PHI",21,42,37,6,1,0,1,4,7,10,3,0,8,0,1,1,0,0,0,0.16216216,6012
2020,"Eduardo Escobar","ARI",11,27,23,5,3,2,0,0,1,2,3,1,3,0,1,0,0,0,0,0.2173913,6153
2020,"J.D. Martinez","BOS",14,27,24,4,1,2,0,1,3,3,2,0,7,1,0,0,0,1,0,0.16666667,6184
2020,"Martin Maldonado","HOU",15,28,25,11,7,2,0,2,3,12,3,0,6,0,0,0,0,1,0,0.44,6887
2020,"Charlie Blackmon","COL",23,45,41,16,13,1,0,2,5,12,3,0,3,0,1,0,3,1,0,0.3902439,7859
2020,"Jose Martinez","2 Tms",13,21,21,7,2,4,0,1,4,4,0,0,8,0,0,0,1,0,0,0.33333333,7996
2020,"Donovan Solano","SFG",15,32,30,8,5,2,0,1,4,2,2,0,4,0,0,0,0,0,0,0.26666667,8623
2020,"Starling Marte","2 Tms",14,29,26,9,8,1,0,0,3,2,2,1,2,1,0,0,0,1,0,0.34615385,9241
2020,"Evan Longoria","SFG",16,32,29,12,8,1,0,3,8,8,2,0,6,0,1,0,2,0,0,0.4137931,9368
2020,"Christian Vazquez","BOS",14,24,20,3,2,0,0,1,3,1,4,0,6,0,0,0,1,2,0,0.15,9774
2020,"Nolan Arenado","COL",19,33,32,9,6,2,0,1,4,3,0,0,7,0,1,0,1,0,0,0.28125,9777
2020,"Kyle Seager","SEA",17,40,32,6,2,1,0,3,8,8,6,0,6,2,0,0,0,1,0,0.1875,9785
2020,"Andrew McCutchen","PHI",16,36,31,7,4,1,0,2,4,7,5,0,11,0,0,0,0,0,0,0.22580645,9847
2020,"Darin Ruf","SFG",17,31,28,8,1,5,0,2,3,3,3,0,7,0,0,0,0,0,0,0.28571429,9929
2020,"Wil Myers","SDP",13,26,23,7,3,1,0,3,5,6,3,0,8,0,0,0,0,0,0,0.30434783,10047
2020,"Max Stassi","LAA",14,32,27,8,5,0,0,3,4,7,5,0,4,0,0,0,2,0,0,0.2962963,10059
2020,"Jonathan Villar","2 Tms",14,30,30,10,8,1,0,1,1,3,0,0,4,0,0,0,1,4,2,0.33333333,10071
2020,"Mike Trout","LAA",17,38,31,11,9,1,0,1,5,6,5,1,8,1,1,0,0,0,0,0.35483871,10155
2020,"Randal Grichuk","TOR",11,22,21,7,6,1,0,0,3,0,1,0,3,0,0,0,0,0,0,0.33333333,10243
2020,"Marcell Ozuna","ATL",10,20,15,6,3,1,0,2,5,4,5,2,4,0,0,0,0,0,0,0.4,10324
2020,"Cesar Hernandez","CLE",18,34,31,6,4,1,0,1,2,6,2,0,8,0,0,1,2,0,0,0.19354839,10556
2020,"Corey Dickerson","MIA",13,25,24,3,2,0,0,1,3,2,1,0,5,0,0,0,1,1,0,0.125,10762
2020,"Jurickson Profar","SDP",19,30,27,7,7,0,0,0,3,3,3,0,3,0,0,0,0,1,0,0.25925926,10815
2020,"Jedd Gyorko","MIL",16,27,20,5,2,1,0,2,3,4,6,0,6,0,1,0,1,0,0,0.25,10816
2020,"Andrelton Simmons","LAA",11,24,22,9,8,1,0,0,4,3,1,0,4,1,0,0,1,0,0,0.40909091,10847
2020,"Phil Gosselin","PHI",16,33,29,9,6,1,0,2,6,5,4,1,5,0,0,0,0,0,0,0.31034483,10953
2020,"Whit Merrifield","KCR",11,23,21,4,3,0,0,1,1,2,2,0,3,0,0,0,0,0,2,0.19047619,11281
2020,"Jesus Aguilar","MIA",13,25,24,6,5,1,0,0,3,0,1,0,8,0,0,0,0,0,0,0.25,11342
2020,"Gary Sanchez","NYY",10,20,15,3,0,1,0,2,3,5,5,0,5,0,0,0,1,0,0,0.2,11442
2020,"Christian Yelich","MIL",16,26,23,8,2,4,0,2,7,2,3,0,9,0,0,0,0,0,0,0.34782609,11477
2020,"Manny Machado","SDP",10,23,20,6,2,1,0,3,4,3,3,0,3,0,0,0,1,1,0,0.3,11493
2020,"Bryce Harper","PHI",19,42,33,10,6,3,0,1,7,4,7,0,9,1,0,1,1,2,0,0.3030303,11579
