Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Zack Greinke","HOU",10,37,0.9,7,2,1,1,1,0,2,0,0,5,0.205882352,0.243243243,0.323529411,0.24188914492323593,1943
2020,"Clayton Kershaw","LAD",19,70,0.4737,10,3,0,1,1,1,3,0,0,20,0.149253731,0.185714285,0.23880597,0.18666589770998274,2036
2020,"Lance Lynn","TEX",10.1,41,2.6129,7,1,0,4,3,2,3,0,0,12,0.189189189,0.25,0.378378378,0.2701334416866302,2520
2020,"Rick Porcello","NYM",12.2,53,3.5526,13,4,1,6,5,1,4,0,0,9,0.265306122,0.320754716,0.448979591,0.3290036624332644,2717
2020,"Max Scherzer","WSN",12.1,46,2.1892,9,0,0,3,3,1,1,0,0,19,0.2,0.217391304,0.266666666,0.21141791602839594,3137
2020,"Anibal Sanchez","WSN",6,32,12,12,3,1,8,8,2,2,0,0,5,0.4,0.4375,0.766666666,0.49675100669264793,3284
2020,"Danny Duffy","KCR",21.2,91,4.1538,17,6,0,11,10,4,6,0,2,24,0.215189873,0.274725274,0.443037974,0.298115393617651,3542
2020,"Derek Holland","PIT",8.1,38,10.8,8,2,0,10,10,3,5,0,1,11,0.25,0.368421052,0.59375,0.40153943394359787,4141
2020,"Jake Arrieta","PHI",8,28,3.375,7,2,0,3,3,2,2,0,0,4,0.269230769,0.321428571,0.576923076,0.37360153027943205,4153
2020,"Rafael Dolis","TOR",5,18,0,4,2,0,1,0,0,0,0,0,3,0.222222222,0.222222222,0.333333333,0.2352679040696886,4185
2020,"Matt Shoemaker","TOR",8,33,5.625,7,1,0,5,5,3,3,0,0,7,0.233333333,0.303030303,0.566666666,0.36052291682272253,4776
2020,"Rich Hill","MIN",5,19,1.8,4,0,0,1,1,0,2,0,0,5,0.235294117,0.315789473,0.235294117,0.2591479953966643,4806
2020,"Jon Lester","CHC",20,86,2.25,16,5,0,5,5,0,6,0,2,13,0.205128205,0.279069767,0.269230769,0.25029120750205464,4930
2020,"Wade LeBlanc","BAL",10,46,9.9,14,3,0,11,11,3,2,0,0,6,0.318181818,0.347826086,0.59090909,0.3930068508438442,5221
2020,"Madison Bumgarner","ARI",10,45,7.2,11,1,0,8,8,5,5,0,0,5,0.275,0.355555555,0.675,0.4223312298456828,5524
2020,"Nik Turley","PIT",5.2,22,6.3529,2,1,0,4,4,0,2,1,1,5,0.111111111,0.227272727,0.166666666,0.1687724675451006,5530
2020,"Dellin Betances","NYM",5,24,9,5,0,0,5,5,0,3,0,1,2,0.25,0.375,0.25,0.30134379615386325,6216
