Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Zack Greinke","HOU",8,26,0,3,0,0,0,0,0,0,0,0,7,0.115384615,0.115384615,0.115384615,0.10171883610578683,1943
2020,"Adam Wainwright","STL",14,57,3.8571,13,3,0,8,6,2,2,0,0,8,0.24074074,0.263157894,0.407407407,0.28275336926443534,2233
2020,"Lance Lynn","TEX",6,26,3,5,1,0,2,2,1,2,0,1,8,0.217391304,0.307692307,0.391304347,0.30707138547530544,2520
2020,"Tony Watson","SFG",5,18,0,4,1,0,0,0,0,0,0,0,4,0.222222222,0.222222222,0.277777777,0.21564993924564785,3132
2020,"Anibal Sanchez","WSN",7,24,1.2857,5,0,0,1,1,1,0,0,0,5,0.208333333,0.208333333,0.333333333,0.22937671343485513,3284
2020,"Danny Duffy","KCR",5,20,1.8,4,0,0,1,1,0,2,0,0,6,0.222222222,0.3,0.222222222,0.24610426425933837,3542
2020,"Derek Holland","PIT",7,28,1.2857,5,2,0,1,1,1,3,0,1,7,0.208333333,0.321428571,0.416666666,0.32275778906685965,4141
2020,"Jon Lester","CHC",9.2,46,12.1034,18,2,1,13,13,6,0,0,0,8,0.391304347,0.391304347,0.869565217,0.5182114567445673,4930
2020,"Trevor Cahill","SFG",5.1,20,1.6875,1,0,0,1,1,0,2,0,0,8,0.055555555,0.15,0.055555555,0.1138697773218155,6249
2020,"Alex Cobb","BAL",11.2,50,5.4,14,3,0,7,7,2,2,0,0,5,0.291666666,0.32,0.479166666,0.3399701058864594,6562
2020,"Johnny Cueto","SFG",16.2,69,5.4,15,6,1,10,10,2,4,0,0,19,0.23076923,0.275362318,0.446153846,0.3046026955480161,6893
2020,"Chase Anderson","TOR",11.2,53,3.8571,16,2,0,7,5,2,2,0,1,9,0.32,0.358490566,0.48,0.36101363290031,6895
2020,"J.A. Happ","NYY",5.2,20,1.5882,3,0,0,1,1,1,2,0,0,3,0.166666666,0.25,0.333333333,0.2568873465061188,7410
2020,"Tommy Milone","BAL",10,47,5.4,16,2,1,9,6,2,0,0,0,9,0.355555555,0.347826086,0.577777777,0.3844717598479727,7608
2020,"Mike Fiers","OAK",5.1,27,5.0625,7,2,0,3,3,0,3,0,2,3,0.318181818,0.444444444,0.409090909,0.38632060642595645,7754
2020,"Brett Anderson","MIL",6,21,3,5,0,0,2,2,2,1,0,0,3,0.25,0.285714285,0.55,0.3476277220816839,8223
2020,"Patrick Corbin","WSN",12.1,53,3.6487,15,2,1,5,5,2,4,0,0,12,0.306122448,0.358490566,0.510204081,0.3697321190024322,9323
2020,"Josh Tomlin","ATL",7,33,7.7143,12,1,0,6,6,3,1,1,0,7,0.375,0.393939393,0.6875,0.4445587359368801,9388
2020,"Dallas Keuchel","CHW",11.2,48,3.0857,8,0,0,4,4,0,5,0,0,8,0.19047619,0.276595744,0.19047619,0.22429971745673646,9434
2020,"Kyle Gibson","TEX",6.1,27,9.9474,6,1,0,7,7,2,2,0,2,6,0.260869565,0.37037037,0.565217391,0.39593262363363196,10123
2020,"Zack Wheeler","PHI",7,27,2.5714,6,1,0,2,2,0,1,0,1,4,0.25,0.307692307,0.291666666,0.2719337779742021,10310
2020,"Asher Wojciechowski","BAL",8.2,38,6.2307,12,0,0,6,6,3,2,0,0,6,0.333333333,0.368421052,0.583333333,0.4017438402301387,10836
2020,"Josh A. Smith","MIA",5.2,23,0,5,1,0,0,0,0,2,0,0,3,0.238095238,0.304347826,0.285714285,0.26778671534165094,10946
2020,"Jacob deGrom","NYM",7,24,1.2857,2,1,0,1,1,0,2,0,0,14,0.09090909,0.166666666,0.136363636,0.14643352975447974,10954
2020,"Merrill Kelly","ARI",6.2,26,0,3,0,0,0,0,0,2,1,0,7,0.125,0.192307692,0.125,0.13370423555374145,11156
2020,"Robbie Ray","ARI",9,41,3,2,2,0,3,3,0,12,0,1,12,0.071428571,0.365853658,0.142857142,0.28235484914081854,11486
2020,"James Paxton","NYY",10,41,5.4,7,2,0,6,6,1,5,0,0,10,0.2,0.292682926,0.342857142,0.27972293190839814,11828
2020,"Taijuan Walker","SEA",7,27,3.8571,4,0,0,3,3,3,1,0,0,8,0.153846153,0.185185185,0.5,0.2783645855055915,11836
2020,"Kyle Hendricks","CHC",11.2,47,4.6286,10,2,0,6,6,3,2,0,0,8,0.222222222,0.255319148,0.466666666,0.3024261974273844,12049
2020,"Chris Bassitt","OAK",5.2,27,3.1765,6,3,0,4,2,0,2,0,0,6,0.25,0.307692307,0.375,0.29813652084423947,12304
2020,"Colin Rea","CHC",5.1,23,6.75,6,2,0,4,4,1,0,0,0,2,0.260869565,0.260869565,0.478260869,0.30858679180559906,12317
2020,"Sonny Gray","CIN",6.2,26,1.35,5,1,0,1,1,1,1,0,0,10,0.2,0.23076923,0.36,0.2522462766904097,12768
2020,"Mike Clevinger","CLE",6,25,3,8,1,0,2,2,1,1,0,0,6,0.333333333,0.36,0.5,0.36812371730804444,12808
2020,"Tyler Anderson","SFG",9,32,0,3,2,0,1,0,0,0,0,1,4,0.096774193,0.125,0.161290322,0.12759744562208652,12880
2020,"Yu Darvish","CHC",13,52,1.3846,14,1,0,2,2,1,2,0,0,17,0.28,0.307692307,0.36,0.292122856928752,13074
2020,"Gerrit Cole","NYY",13.2,51,1.9756,10,2,0,3,3,3,1,0,0,18,0.2,0.215686274,0.42,0.2650218652743919,13125
2020,"Zach Davies","SDP",8,30,2.25,4,2,0,2,2,1,2,0,0,7,0.148148148,0.2,0.333333333,0.22434006730715433,13183
2020,"Michael Fulmer","DET",5.2,27,7.9411,8,1,0,5,5,2,4,0,0,3,0.363636363,0.444444444,0.681818181,0.4590394916357817,13218
2020,"Ross Stripling","LAD",7,37,10.2857,14,0,0,9,8,5,2,0,0,4,0.4,0.432432432,0.828571428,0.519563302800462,13273
2020,"Luis Cessa","NYY",5,20,7.2,4,0,1,4,4,2,1,0,0,6,0.210526315,0.25,0.631578947,0.3546983152627945,13345
2020,"Blake Snell","TBR",5.2,22,3.1765,4,2,0,2,2,1,1,0,0,9,0.19047619,0.227272727,0.428571428,0.2741948122327978,13543
2020,"Max Fried","ATL",11,43,1.6364,9,2,0,2,2,0,3,0,0,10,0.23076923,0.279069767,0.282051282,0.24973743045052818,13743
2020,"Alec Mills","CHC",9.2,44,9.3103,12,2,0,10,10,2,3,0,2,8,0.307692307,0.386363636,0.512820512,0.3871118724346161,13834
2020,"Kevin Gausman","SFG",15.2,70,5.1702,17,3,0,9,9,4,6,0,0,25,0.265625,0.328571428,0.5,0.351847277368818,14107
2020,"Lance McCullers Jr.","HOU",5.2,23,3.1765,3,1,0,2,2,0,3,0,1,7,0.157894736,0.304347826,0.210526315,0.25310525168543274,14120
2020,"Jose Berrios","MIN",10,40,3.6,6,1,0,4,4,1,5,0,0,16,0.171428571,0.275,0.285714285,0.255790776014328,14168
2020,"Tyler Glasnow","TBR",7,27,2.5714,5,0,0,2,2,1,1,0,0,13,0.192307692,0.222222222,0.307692307,0.2297391582418371,14374
2020,"Jorge Lopez","BAL",8,34,7.875,8,1,0,7,7,1,2,0,1,8,0.266666666,0.323529411,0.4,0.31260428709142346,14527
