Season,Name,Tm,IP,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
2020,"Zack Greinke","HOU",8,26,0,3,0,0,0,0,0,0,0,0,7,0.115384615,0.115384615,0.115384615,0.10179459131681003,1943
2020,"Adam Wainwright","STL",14,57,3.8571,13,3,0,8,6,2,2,0,0,8,0.24074074,0.263157894,0.407407407,0.2827035774264419,2233
2020,"Lance Lynn","TEX",6,26,3,5,1,0,2,2,1,2,0,1,8,0.217391304,0.307692307,0.391304347,0.3070950531042539,2520
2020,"Tony Watson","SFG",5,18,0,4,1,0,0,0,0,0,0,0,4,0.222222222,0.222222222,0.277777777,0.21573046843210855,3132
2020,"Anibal Sanchez","WSN",7,24,1.2857,5,0,0,1,1,1,0,0,0,5,0.208333333,0.208333333,0.333333333,0.22929740448792776,3284
2020,"Danny Duffy","KCR",5,20,1.8,4,0,0,1,1,0,2,0,0,6,0.222222222,0.3,0.222222222,0.24636202454566955,3542
2020,"Derek Holland","PIT",7,28,1.2857,5,2,0,1,1,1,3,0,1,7,0.208333333,0.321428571,0.416666666,0.3227829039096832,4141
2020,"Jon Lester","CHC",9.2,46,12.1034,18,2,1,13,13,6,0,0,0,8,0.391304347,0.391304347,0.869565217,0.5176921512769617,4930
2020,"Trevor Cahill","SFG",5.1,20,1.6875,1,0,0,1,1,0,2,0,0,8,0.055555555,0.15,0.055555555,0.11402905583381653,6249
2020,"Alex Cobb","BAL",11.2,50,5.4,14,3,0,7,7,2,2,0,0,5,0.291666666,0.32,0.479166666,0.33992647409439086,6562
2020,"Johnny Cueto","SFG",16.2,69,5.4,15,6,1,10,10,2,4,0,0,19,0.23076923,0.275362318,0.446153846,0.30453368546306225,6893
2020,"Chase Anderson","TOR",11.2,53,3.8571,16,2,0,7,5,2,2,0,1,9,0.32,0.358490566,0.48,0.3610414547740288,6895
2020,"J.A. Happ","NYY",5.2,20,1.5882,3,0,0,1,1,1,2,0,0,3,0.166666666,0.25,0.333333333,0.2568529725074768,7410
2020,"Tommy Milone","BAL",10,47,5.4,16,2,1,9,6,2,0,0,0,9,0.355555555,0.347826086,0.577777777,0.3843748776809029,7608
2020,"Mike Fiers","OAK",5.1,27,5.0625,7,2,0,3,3,0,3,0,2,3,0.318181818,0.444444444,0.409090909,0.3866305638242651,7754
2020,"Brett Anderson","MIL",6,21,3,5,0,0,2,2,2,1,0,0,3,0.25,0.285714285,0.55,0.3473503390947978,8223
2020,"Patrick Corbin","WSN",12.1,53,3.6487,15,2,1,5,5,2,4,0,0,12,0.306122448,0.358490566,0.510204081,0.3697310798573044,9323
2020,"Josh Tomlin","ATL",7,33,7.7143,12,1,0,6,6,3,1,1,0,7,0.375,0.393939393,0.6875,0.4442819692194462,9388
2020,"Dallas Keuchel","CHW",11.2,48,3.0857,8,0,0,4,4,0,5,0,0,8,0.19047619,0.276595744,0.19047619,0.224545992435293,9434
2020,"Kyle Gibson","TEX",6.1,27,9.9474,6,1,0,7,7,2,2,0,2,6,0.260869565,0.37037037,0.565217391,0.3958308520140471,10123
2020,"Zack Wheeler","PHI",7,27,2.5714,6,1,0,2,2,0,1,0,1,4,0.25,0.307692307,0.291666666,0.2721335291862488,10310
2020,"Asher Wojciechowski","BAL",8.2,38,6.2307,12,0,0,6,6,3,2,0,0,6,0.333333333,0.368421052,0.583333333,0.40160829142520305,10836
2020,"Josh A. Smith","MIA",5.2,23,0,5,1,0,0,0,0,2,0,0,3,0.238095238,0.304347826,0.285714285,0.2679882412371428,10946
2020,"Jacob deGrom","NYM",7,24,1.2857,2,1,0,1,1,0,2,0,0,14,0.09090909,0.166666666,0.136363636,0.14654459059238434,10954
2020,"Merrill Kelly","ARI",6.2,26,0,3,0,0,0,0,0,2,1,0,7,0.125,0.192307692,0.125,0.13383360147476198,11156
2020,"Robbie Ray","ARI",9,41,3,2,2,0,3,3,0,12,0,1,12,0.071428571,0.365853658,0.142857142,0.28272802800666996,11486
2020,"James Paxton","NYY",10,41,5.4,7,2,0,6,6,1,5,0,0,10,0.2,0.292682926,0.342857142,0.27980534477931696,11828
2020,"Taijuan Walker","SEA",7,27,3.8571,4,0,0,3,3,3,1,0,0,8,0.153846153,0.185185185,0.5,0.277932447415811,11836
2020,"Kyle Hendricks","CHC",11.2,47,4.6286,10,2,0,6,6,3,2,0,0,8,0.222222222,0.255319148,0.466666666,0.3022385962465976,12049
2020,"Chris Bassitt","OAK",5.2,27,3.1765,6,3,0,4,2,0,2,0,0,6,0.25,0.307692307,0.375,0.2982495335432199,12304
2020,"Colin Rea","CHC",5.1,23,6.75,6,2,0,4,4,1,0,0,0,2,0.260869565,0.260869565,0.478260869,0.30843026223389997,12317
2020,"Sonny Gray","CIN",6.2,26,1.35,5,1,0,1,1,1,1,0,0,10,0.2,0.23076923,0.36,0.25217644755656904,12768
2020,"Mike Clevinger","CLE",6,25,3,8,1,0,2,2,1,1,0,0,6,0.333333333,0.36,0.5,0.3681298804283142,12808
2020,"Tyler Anderson","SFG",9,32,0,3,2,0,1,0,0,0,0,1,4,0.096774193,0.125,0.161290322,0.12762190587818623,12880
2020,"Yu Darvish","CHC",13,52,1.3846,14,1,0,2,2,1,2,0,0,17,0.28,0.307692307,0.36,0.2922258927271916,13074
2020,"Gerrit Cole","NYY",13.2,51,1.9756,10,2,0,3,3,3,1,0,0,18,0.2,0.215686274,0.42,0.26482418354819803,13125
2020,"Zach Davies","SDP",8,30,2.25,4,2,0,2,2,1,2,0,0,7,0.148148148,0.2,0.333333333,0.22426059246063232,13183
2020,"Michael Fulmer","DET",5.2,27,7.9411,8,1,0,5,5,2,4,0,0,3,0.363636363,0.444444444,0.681818181,0.4589936203426785,13218
2020,"Ross Stripling","LAD",7,37,10.2857,14,0,0,9,8,5,2,0,0,4,0.4,0.432432432,0.828571428,0.5191792475210654,13273
2020,"Luis Cessa","NYY",5,20,7.2,4,0,1,4,4,2,1,0,0,6,0.210526315,0.25,0.631578947,0.35426245033741,13345
2020,"Blake Snell","TBR",5.2,22,3.1765,4,2,0,2,2,1,1,0,0,9,0.19047619,0.227272727,0.428571428,0.27402895959940826,13543
2020,"Max Fried","ATL",11,43,1.6364,9,2,0,2,2,0,3,0,0,10,0.23076923,0.279069767,0.282051282,0.24990834053172623,13743
