PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Chris Paddack,P,SD,SF,Yes,9000,31.4,3.5,23.6,2.6,27.2,3.0,W 9 L-R
Sonny Gray,P,CIN,@CHC,Yes,10100,31.2,3.1,27.2,2.7,37.5,3.7,W 14 In
Dustin May,P,LAD,@ARI,Yes,7600,28.2,3.7,20.2,2.7,23.1,3.0,In Dome
Drew Smyly,P,SF,@SD,Yes,6100,24.6,4.0,16.3,2.7,16.3,2.7,W 9 L-R
Madison Bumgarner,P,ARI,LAD,Yes,7400,22.7,3.1,9.8,1.3,9.8,1.3,In Dome
Adbert Alzolay,P,CHC,CIN,Yes,5700,22.2,3.9,18.7,3.3,18.7,3.3,W 14 In
Fernando Tatis,SS,SD,SF,1,4800,17.6,3.7,13.6,2.8,16.6,3.5,W 9 L-R
Mookie Betts,OF,LAD,@ARI,1,4700,16.2,3.5,15.8,3.4,15.1,3.2,In Dome
Cody Bellinger,OF,LAD,@ARI,3,4200,14.4,3.4,8.5,2.0,11.3,2.7,In Dome
Manny Machado,3B,SD,SF,2,4200,14.2,3.4,12.5,3.0,14.1,3.4,W 9 L-R
Max Muncy,2B,LAD,@ARI,2,3700,13.5,3.7,10.4,2.8,10.6,2.9,In Dome
A.J. Pollock,OF,LAD,@ARI,4,3000,13.0,4.3,13.1,4.4,9.8,3.3,In Dome
Wil Myers,OF,SD,SF,5,3300,12.9,3.9,19.4,5.9,13.0,3.9,W 9 L-R
Jake Cronenworth,2B,SD,SF,6,3100,12.6,4.1,7.5,2.4,10.3,3.3,W 9 L-R
Chris Taylor,SS,LAD,@ARI,6,2700,12.4,4.6,15.7,5.8,9.3,3.4,In Dome
Corey Seager,SS,LAD,@ARI,5,4000,12.1,3.0,15.1,3.8,13.8,3.4,In Dome
Enrique Hernandez,2B,LAD,@ARI,7,2400,12.1,5.0,10.7,4.5,7.1,2.9,In Dome
Mitch Moreland,C1,SD,SF,3,3000,11.8,3.9,8.1,2.7,11.8,3.9,W 9 L-R
Austin Nola,C1,SD,SF,4,3000,11.8,3.9,15.7,5.2,10.7,3.6,W 9 L-R
Nick Castellanos,OF,CIN,@CHC,2,3300,11.7,3.5,6.3,1.9,11.5,3.5,W 14 In
