Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2020,"Todd Frazier","2 Tms",48,1.083333333,0.285714285,0.371428571,0.342857142,0,0.166666666,0,0,0.5143,0.2857,0.2,0.0857,0.4571,0.4571,785
2020,"Albert Pujols","LAA",43,1.4,0.314285714,0.4,0.285714285,0.6,0.1,0,0,0.6571,0.2,0.1429,0.2571,0.2286,0.5143,1177
2020,"Wilson Ramos","NYM",35,1.111111111,0.24,0.4,0.36,0,0.111111111,0,0,0.28,0.44,0.28,0.2,0.44,0.36,1433
2020,"Miguel Cabrera","DET",31,0.857142857,0.409090909,0.272727272,0.318181818,0,0.142857142,0,0,0.6364,0.1364,0.2273,0.0455,0.5,0.4545,1744
2020,"David Peralta","ARI",33,2.666666666,0.083333333,0.666666666,0.25,0,0,0.0625,0,0.4583,0.375,0.1667,0.25,0.5417,0.2083,2136
2020,"Edwin Encarnacion","CHW",35,0.545454545,0.055555555,0.333333333,0.611111111,0.181818181,0.272727272,0,0,0.5,0.2222,0.2778,0.2778,0.2778,0.4444,2151
2020,"Carlos Santana","CLE",40,0.714285714,0.142857142,0.357142857,0.5,0.071428571,0.142857142,0,0,0.3929,0.3571,0.25,0.0357,0.3929,0.5714,2396
2020,"Nelson Cruz","MIN",43,1.3,0.28125,0.40625,0.3125,0,0.6,0.076923076,0,0.3438,0.5,0.1563,0.0938,0.375,0.5313,2434
2020,"Manny Pina","MIL",22,0.285714285,0.4,0.133333333,0.466666666,0.142857142,0,0,0,0.4,0.2667,0.3333,0.1333,0.3333,0.5333,2829
2020,"Tommy Pham","SDP",22,1,0.142857142,0.428571428,0.428571428,0,0.166666666,0,0,0.2857,0.4286,0.2857,0.0714,0.4286,0.5,2967
2020,"Robinson Chirinos","2 Tms",23,5,0.2,0.666666666,0.133333333,0,0,0,0,0.3333,0.6,0.0667,0.0667,0.4667,0.4667,3142
2020,"Shin-Soo Choo","TEX",30,4,0.09090909,0.727272727,0.181818181,0,0.25,0,0,0.3182,0.4091,0.2727,0.0455,0.3182,0.6364,3174
2020,"Robinson Cano","NYM",35,2.25,0.133333333,0.6,0.266666666,0.25,0.25,0,0,0.4667,0.2667,0.2667,0.1333,0.4667,0.4,3269
2020,"Ryan Braun","MIL",26,1.125,0.055555555,0.5,0.444444444,0,0.25,0,0,0.3889,0.4444,0.1667,0.2778,0.3889,0.3333,3410
2020,"Anthony Rizzo","CHC",42,2.5,0.222222222,0.555555555,0.222222222,0.166666666,0,0,0,0.5357,0.2857,0.1786,0.1071,0.5357,0.3571,3473
2020,"Eric Hosmer","SDP",36,0.916666666,0.148148148,0.407407407,0.444444444,0,0.166666666,0.09090909,0,0.2963,0.4444,0.2593,0.1852,0.2222,0.5926,3516
2020,"Josh Reddick","HOU",49,1.272727272,0.324324324,0.378378378,0.297297297,0.181818181,0,0.071428571,0,0.4595,0.3514,0.1892,0.1081,0.4865,0.4054,3892
2020,"Michael Brantley","HOU",23,1.6,0.277777777,0.444444444,0.277777777,0,0.2,0,0,0.5556,0.2778,0.1667,0.0556,0.5,0.4444,4106
2020,"Howie Kendrick","WSN",20,2.25,0.235294117,0.529411764,0.235294117,0,0.5,0,0,0.2941,0.4118,0.2941,0.1765,0.2353,0.5882,4229
2020,"Joey Votto","CIN",33,0.888888888,0.227272727,0.363636363,0.409090909,0,0.222222222,0.125,0,0.3182,0.3182,0.3636,0.1364,0.3636,0.5,4314
2020,"Daniel Murphy","COL",33,2,0.16,0.56,0.28,0.142857142,0,0.071428571,0,0.32,0.48,0.2,0.16,0.56,0.28,4316
2020,"Mike Moustakas","CIN",21,0.8,0.1,0.4,0.5,0,0,0,0,0.4,0.4,0.2,0,0.6,0.4,4892
2020,"Jason Heyward","CHC",30,1.111111111,0.095238095,0.476190476,0.428571428,0,0,0.1,0,0.6667,0.2381,0.0952,0.0952,0.381,0.5238,4940
2020,"Asdrubal Cabrera","WSN",33,1.083333333,0.193548387,0.419354838,0.387096774,0.083333333,0.333333333,0,0,0.3548,0.3226,0.3226,0.0645,0.4194,0.5161,4962
2020,"Alex Gordon","KCR",20,1.2,0.214285714,0.428571428,0.357142857,0,0,0,0,0.2143,0.5714,0.2143,0.1429,0.7143,0.1429,5209
2020,"Justin Upton","LAA",45,0.833333333,0.12,0.4,0.48,0,0.25,0.1,0,0.48,0.36,0.16,0.04,0.32,0.64,5222
2020,"Justin Turner","LAD",45,0.75,0.192307692,0.346153846,0.461538461,0.083333333,0,0.222222222,0,0.4231,0.4231,0.1538,0.1538,0.2308,0.6154,5235
2020,"Aaron Hicks","NYY",26,1.833333333,0.105263157,0.578947368,0.315789473,0,0,0.09090909,0,0.3158,0.3684,0.3158,0.2105,0.3158,0.4737,5297
2020,"Brandon Crawford","SFG",26,1.6,0.1875,0.5,0.3125,0.4,0,0.125,0,0.5,0.3125,0.1875,0.125,0.25,0.625,5343
2020,"Freddie Freeman","ATL",37,6,0.44,0.48,0.08,0,0,0,0,0.4,0.28,0.32,0.08,0.28,0.64,5361
2020,"Jose Altuve","HOU",42,2.6,0.217391304,0.565217391,0.217391304,0,0.2,0,0.333333333,0.3846,0.5385,0.0769,0.1923,0.3462,0.4615,5417
2020,"Marwin Gonzalez","MIN",48,0.642857142,0.342857142,0.257142857,0.4,0,0,0,0,0.3429,0.4571,0.2,0.1429,0.4,0.4571,5497
2020,"Matt Kemp","COL",37,1.125,0.32,0.36,0.32,0,0,0.111111111,0,0.32,0.44,0.24,0.16,0.44,0.4,5631
2020,"Avisail Garcia","MIL",38,1.571428571,0.217391304,0.478260869,0.304347826,0,0.142857142,0,0,0.5652,0.2609,0.1739,0.087,0.5217,0.3913,5760
2020,"Wilmer Flores","SFG",43,1.272727272,0.193548387,0.451612903,0.354838709,0,0.454545454,0.071428571,0,0.6129,0.2581,0.129,0.129,0.3226,0.5484,5827
2020,"Jean Segura","PHI",40,0.642857142,0.148148148,0.333333333,0.518518518,0.142857142,0.214285714,0,0,0.2593,0.4074,0.3333,0.2222,0.2963,0.4815,5933
2020,"Didi Gregorius","PHI",44,1,0.117647058,0.44117647,0.44117647,0.2,0.2,0.066666666,0,0.5143,0.2571,0.2286,0.2286,0.4571,0.3143,6012
2020,"Eduardo Escobar","ARI",35,0.785714285,0.137931034,0.379310344,0.48275862,0.071428571,0.071428571,0,0,0.5172,0.3793,0.1034,0.069,0.5517,0.3793,6153
2020,"J.D. Martinez","BOS",43,1.2,0.266666666,0.4,0.333333333,0,0.2,0.166666666,0,0.4333,0.4333,0.1333,0.1333,0.4667,0.4,6184
2020,"Freddy Galvis","CIN",24,0.555555555,0.222222222,0.277777777,0.5,0.111111111,0.222222222,0,0,0.2778,0.3889,0.3333,0.1111,0.2778,0.6111,6609
