Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
2020,"Zack Greinke","HOU",9,31,9,0,9,0,0.2903,0,0.2903,0.129032258,0.4444,0.1818,0.25,1.1374365806579592,1.7884973903497061,1943
2020,"Clayton Kershaw","LAD",5.1,17,8.4376,0,5,1.6875,0.2941,0,0.2941,0.117647058,0.375,0.0909,1,3.699940095657959,2.727320839241006,2036
2020,"Adam Wainwright","STL",9.1,37,1.9286,0.9643,2,1.9286,0.0541,0.027,0.027,0.228571428,0.9643,0.1875,0.4839,5.816017574657959,4.913725981156944,2233
2020,"Lance Lynn","TEX",12.1,44,6.5676,0.7297,9,0.7297,0.2045,0.0227,0.1818,0.116279069,0.4865,0.1212,1,2.9752739806579593,3.8216159283510254,2520
2020,"Rick Porcello","NYM",5.2,20,11.1176,0,7,0,0.35,0,0.35,0.15,0.5294,0.2308,0.6667,0.6668628786579589,3.4242806755636233,2717
2020,"Max Scherzer","WSN",6,31,13.5,4.5,3,4.5,0.2903,0.0968,0.1935,0.357142857,2.1667,0.4375,0.7955,8.13743658065796,4.567210224270822,3137
2020,"Anibal Sanchez","WSN",5,23,3.6,3.6,1,1.8,0.087,0.087,0,0.333333333,1.8,0.3333,0.9211,6.137436580657959,6.2718919813632965,3284
2020,"Matt Shoemaker","TOR",7,27,12.8571,2.5714,5,2.5714,0.3704,0.0741,0.2963,0.2,1,0.2308,0.7143,4.851722294657959,3.0906190097332003,4776
2020,"Trevor Cahill","SFG",6.1,22,11.3685,1.4211,8,1.4211,0.3636,0.0455,0.3182,0.15,0.6316,0.1667,0.7692,3.1374365806579596,3.8603838374872854,6249
2020,"Alex Cobb","BAL",5,23,7.2,1.8,4,1.8,0.1739,0.0435,0.1304,0.318181818,1.6,0.3529,0.7576,4.73743658065796,4.0906190097332,6562
2020,"Julio Teheran","LAA",7,28,5.1429,1.2857,4,5.1429,0.1429,0.0357,0.1071,0.36,1.4286,0.2632,0.4545,9.851722294657959,5.771463601929801,6797
